배정대 (Jeong-Dae Bae),11212,올시즌,2024,KT,28,CF,0.39,-0.03,32,144,144,125,15,34,9,1,1,48,13,4,4,15,0,0,34,1,0,4,0.272,0.340,0.384,0.724,-0.008,91.8,0.36
양석환 (Seok-Hwan Yang),11213,올시즌,2024,두산,32,1B,1.78,-0.85,66,274,274,245,39,60,13,0,16,121,49,3,2,25,3,0,58,11,0,1,0.245,0.321,0.494,0.815,0.025,117.2,0.93
장준원 (Jun-Won Jang),11214,올시즌,2024,KT,28,SS,-0.10,0.14,12,8,8,7,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.143,0.250,0.143,0.393,-0.128,0.7,0.03
채은성 (Eun-Seong Chae),11215,올시즌,2024,한화,33,1B,0.00,-0.37,45,187,187,169,22,39,7,0,5,61,29,1,1,14,2,0,34,3,0,2,0.231,0.294,0.361,0.655,-0.038,69.4,-0.37
임지열 (Ji-Yeol Lim),11225,올시즌,2024,키움,28,RF,-0.38,-0.42,21,55,55,47,4,5,0,0,1,8,5,0,0,7,0,0,16,2,0,1,0.106,0.218,0.170,0.388,-0.110,14.2,-0.81
임병욱 (Byeong-Wook Lim),11226,올시즌,2024,넥센,28,CF,0.03,-0.13,15,36,36,33,4,9,1,0,0,10,3,1,0,3,0,0,10,1,0,0,0.273,0.333,0.303,0.636,-0.049,60.8,-0.10
이창진 (Chang-Jin Lee),11233,올시즌,2024,KIA,32,RF,0.57,-0.45,51,108,105,79,16,20,4,0,0,24,6,2,1,23,1,0,18,2,3,2,0.253,0.419,0.304,0.723,0.007,103.3,0.12
김태진 (Tae-Jin Kim),11244,올시즌,2024,키움,28,2B,-0.13,0.12,14,26,26,25,3,6,1,0,0,7,1,0,0,1,0,1,1,0,0,0,0.240,0.269,0.280,0.549,-0.089,30.4,-0.02
강한울 (Han-Wool Kang),11255,올시즌,2024,삼성,32,3B,-0.43,0.07,18,25,22,21,1,2,0,0,0,2,1,0,0,0,0,0,6,1,3,1,0.095,0.091,0.095,0.186,-0.249,-68.4,-0.36
박찬호 (Chan-Ho Park),11261,올시즌,2024,KIA,28,SS,0.83,1.07,55,245,243,228,36,71,12,0,2,89,21,13,6,12,1,0,22,3,2,2,0.311,0.346,0.390,0.736,-0.004,95.0,1.90
김호령 (Ho-Ryeong Kim),11298,올시즌,2024,KIA,31,CF,-0.16,0.45,34,36,36,31,5,5,0,0,1,8,3,2,1,5,0,0,16,0,0,0,0.161,0.278,0.258,0.536,-0.086,32.6,0.29
황대인 (Dae-In Hwang),11306,올시즌,2024,KIA,27,1B,0.02,-0.04,3,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,-0.030,75.2,-0.02
안승한 (Seung-Han Ahn),11328,올시즌,2024,두산,31,C,-0.06,0.06,4,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.200,0.200,0.200,0.400,-0.145,-12.3,0.00
문상철 (Sang-Cheol Moon),11333,올시즌,2024,KT,32,1B,1.91,0.08,56,199,199,173,26,52,4,0,10,86,30,3,1,21,4,1,44,4,0,1,0.301,0.387,0.497,0.884,0.053,137.9,1.99
김태훈 (Tae-Hun Kim),11336,올시즌,2024,삼성,27,RF,0.01,0.16,9,16,16,15,2,4,1,0,0,5,1,0,0,0,1,0,2,1,0,0,0.267,0.313,0.333,0.646,-0.049,60.7,0.18
김민혁 (Min-Hyeok Kim),11339,올시즌,2024,KT,28,LF,0.43,-0.44,50,163,161,142,11,43,4,0,0,47,21,2,0,18,1,1,18,4,1,1,0.303,0.383,0.331,0.714,-0.008,92.4,0.00
송민섭 (Min-Seop Song),11342,올시즌,2024,KT,32,CF,-0.06,-0.02,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-0.295,-126.1,-0.08
김재성 (Jae-Seong Kim),11344,올시즌,2024,삼성,27,C,-0.03,-0.10,10,23,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0,0,0.200,0.304,0.250,0.554,-0.039,68.7,-0.12
